Item|Description
2141-0027-01|LUG,TERM,FORK,18-22AWG,#6 STUD 
2141-0028-01|LUG,SPADE,CRIMP,INSUL,16-14,#6 
2141-0029-01|LUG,SPADE,CRIMP INSUL,22-16,#4 
2200-0014|ALARM PIEZO TRANSDUCER         
2201-0059-01|CNTR,6DGT,LITH,PNL,RSET,SEALED 
2308-0007-01|XTAL,1.856 MHZ,HC33U           
2308-0012-01|CRYSTAL,18.432MHZ.01%,HC-18/U  
2308-0025-01|CRYSTAL,3.6864MHZ,.005%,HC-49/ 
2402-0202-01|LABEL, SERIAL NUMBER           
2402-0309-01|LABEL,WARNING DEACTIVATOR      
2402-0357-08|LABEL,UNIVERSAL COMPONENT      
2402-0544-02|LABEL, LOGO INSERT             
2402-1301-01|MAG WARNING LAbEL SLIM PAD     
2402-1427-01|OVERLAY,FP,SMV/SMX116P-R       
2402-1430-01|OVERLAY,FP,SMV/SMX916P-R       
2402-1593-01|OVERLAY, FRONT PANEL, AXMD16   
2402-1846-01|BRAND LABEL, RFID              
2402-1965-01|LABEL, CHECKERBOARD PAD        
2402-2000-01|LABEL,SEC LOGO,91.5MM          
2402-2074-01|LABEL SENSOR LOGO              
2412-0136-01|LBL,INTLX 2.4 UPGRD,DSK 1      
2412-0136-02|LBL,INTLX 2.4 UPGRD,DSK 2      
2412-0136-03|LBL,INTLX 2.4 UPGRD,DSK 3      
2412-0136-04|LBL,INTLX 2.4 UPGRD,DSK 4      
2412-0136-05|LBL,INTLX 2.4 UPGRD,DSK 5      
2412-0136-06|LBL,INTLX 2.4 UPGRD,DSK 6      
2412-0136-07|LBL,INTLX 2.4 UPGRD,DSK 7      
2412-0136-08|LBL,INTLX 2.4 UPGRD,DSK 8      
2412-0136-09|LBL,INTLX 2.4 UPGRD,DSK 9      
2412-0241-01|LABEL,CNTRL ZNE ACTV NODE FLPY 
2412-0263-01|OVRLY,FP,RIGHT,INTLX,AD        
2412-2075-01|RIBBON,TRNSFR,EVEREST PRINTER  
2412-2075-02|RIBBON,BLACK EVEREST PRINTER   
2412-2075-03|RIBBON,CMY,EVEREST PRINTER     
2412-2075-04|CARTRIDGE,INK,BLACK            
2412-2075-05|CARTRIDGE,INK,COLOR            
2510-0040-01|BEARING,ASSY,PAN GEAR,CUSTOM M 
2700-0023-01|FLTR,EMI,FR,CLMP .51D,100MH    
2700-0043-01|FLTR,EMI/RFI,480V,80A,3PHASE   
2804-7106-07|SCREW, M, PHP, CAD, 1/4 X 20 X 
2816-7629-29|Screw, #8 X 1+1/4" Phil (4 EZ  
2841-0074-02|FSTNR,QTR TURN,STUD,OH,SWELL,1 
2875-0070-01|STANDOFF, MF, RFID             
2880-0010-02|ANCHOR BOLT,W/HDWR,1/4X3 1/4   
2880-0011|ANCHOR BOLT,W/HDWR,1/4x 2-1/4  
2880-0045|ANCHOR NYL,STEEL DR PIN,1/4 X1 
2880-0048|ANCHOR PLASTIC 10-12 X 1"W/SCR 
2880-0050|ANCHOR PLASTIC 10-12 X 1"      
2880-0052|ANCHOR BOLT,W/HDWR,1/4 X 4     
2880-0085-01|ANCHOR,SELF DRILL,METAL,SSI    
2880-8909-01|BLT, TAPER, HX HD,3/8X2-1/4    
2880-8919-01|BOLT,TAPER,HEX HD,SST,3/8X3 LG 
3130-0077-01|IC,74HC74,DUAL D FLIP-FLOP     
3130-0080-01|IC,74HC4051,8-CHNL ANALOG MUX  
3130-0164-20|IC,EPRM,27C256,32KX8,200N S,D2 
3130-0317|IC,317,REG,VOLT,POS,ADJ        
3130-0349-01|IC,REGULATOR,2575HVT-12,SWITCH 
3130-0381-01|IC,UNDERVOLTAGE SENSE,4.6V,W/0 
3130-0393|IC,393A,DUAL COMPARATOR        
3130-0404-01|IC,SW,8816,ANLG,ARR,8X16,D40   
3130-0557-01|IC,SMART BATTERY,1260,3V LITHI 
3130-0943-01|IC,SDRAM,128MB,PC144,DIMM168   
3130-0944-07|CPU, PIII, 1.2GHZ              
3130-0977-01|IC,UPC,PENT-4,2G,PGA478,BOX    
3130-0986-01|IC,SDRAM,DDR,256MB,DIMM184     
3130-5006-01|IC,9637,DUAL LINE RECEIVER     
3130-5007-01|IC,9638,DUAL LINE DRIVER       
3130-5020-01|IC,4068,8-INPUT NAND GATE      
3130-7805|IC,7805,REG,VOLT,POS 5V        
3135-0049-01|IC,AMPLIFIER,LF353,JFET,13V/US 
3135-0111-01|IC,MICROCONTROLLER,68HC811,8BI 
3135-0235-01|IC,Flash Memory,PLCC/R-32,29C0 
3135-0703-01|IC,UCTLR,68HC11E1,PLCC522      
3411-0008-03|ANT,RFID,915M,LN,50W,12|,R/TNC 
3411-0009-03|ANT,RFID,915M,CIR,1W,12|,R/TNC 
3501-0008-01|MOTOR,16MM DC SERVO,141:1,ENC  
3501-0009-01|MOTOR, PAN 20MM(SPEEDOME)      
3501-0010-01|MOTOR,20MM DC SERVO,30:1       
3501-0017-01|MOTOR,DC,BI-DIR,28.4:1,12VDC,W 
3501-0018-01|MOTOR,DC,BI-DIR,69.12:1,12VDC  
3501-0024-01|TILT MOTOR                     
3502-0009-01|FAN,TUBEAXIAL,4",115VAC,HS     
3502-0034-01|FAN,60X25,27CFM,12VDC,BB,W/CON 
3901-0018-01|LAMP,T-3 1/4,WEDGE,14V,.350A   
4050-0001-02|COND,PWR,120V,2AMP             
4050-0001-03|COND,PWR,120V,.60AMP           
4500-0007-01|RELAY,SPDT,12VDC,PC MOUNT      
4500-0025-01|RELAY,SPDT,5VDC,8A/250VAC,5PIN 
4815-0021-01|SUPPR,RS422 PROTECTOR          
4815-0022-01|SUPPR,BNC VIDEO PORTECTOR      
4815-0023-01|SUPPR,24VAC PROTECTOR          
4830-0048-01|XSTR,NPN,2N2222A,GP AMP        
4840-0127-01|XSTR,IGBT,1200V,27A,FAST, T024 
4845-0024-01|XSTR,IGBT,600V,14A,T0263       
4860-0017-01|TRIAC,800V,25A,TO220B          
4865-0007-01|SCR,800V,35A,T0247/218AC       
500-772|TAPE 4MM DAT FOR ALPHA TLZ09CA 
5101-0046-01|SW,SPDT,100MA,SNAP ACTION      
5101-0084-01|SWITCH,JOYSTICK,SP4T,250MA,115 
5102-0002-01|CONTACT 2",MAGNET,OVERHEAD DR  
5102-0003-01|CONTACT 1",MAGNET,OVERHEAD DR  
5103-0014-01|SWITCH,PB,MOM,DPST,50MA,30V    
5105-0006-01|SWITCH,KEYLOCK,W/KEY,SPST      
5111-0004|FUSE,.5A,250V,SLO BLO,UL/CSA   
5111-0013|FUSE,2A,250V,SLO BLO,UL/CSA    
5111-0014|FUSE,1A,250V,SLO BLO,UL/CSA    
5111-0014-20|FUSE,3A,250V,SLO BLO,UL/CSA    
5111-0015-01|FUSE,4A,250V,SLO BLO,UL/CSA    
5111-0015-02|FUSE,5A,250V,SLO BLO,UL/CSA    
5111-0017-19|FUSE,2A,250V,SLO BLO,SEMKO     
5111-0017-21|FUSE,3.15A,250V,SLO BLO,SEMKO  
5111-0017-24|FUS,6.3A,250V,5X20,IEC/UL      
5111-0028-11|FUS,5A,250V,5X20,S/B,UL,SEMKO  
5112-0003|FUSE 1/2 AMP 250V FAST BLO     
5112-0006|FUSE  1 AMP  32V FAST BLO      
5112-0007-13|FUSE,.375A,250V,1/4"X1-1/4",F/ 
5112-0012-11|FUSE,1A,250V,FAST BLO,UL/CSA   
5112-0012-19|FUSE,6A,125V,FAST BLO,UL/CSA   
5604-0003-03|XFMR,IND PLUG-IN,120V,20/22V   
5604-0006-01|XFMR,STEPDOWN,120/24VAC,28VA   
5604-0027-01|XFMR,PWR,120 VAC/26 VAC        
5604-0044-01|XFMR,120VAC,60HZ,24V,50VA      
5604-0054-01|XFMR,PWR,24V/.625A,50HZ,CC,230 
5604-0087-01|XFMR,PWR,28VCT/1.44A,50/60HZ,1 
5604-0093-01|XFMR,PWR,28VCT/.36A,50/60HZ,PC 
5604-0124-02|XFR,P,9V1.3A,50H60,WPI,120,CUL 
5605-0011-01|US 120-12VDC P/S-ZB001 SERIES  
5606-0015-02|PWR SPLY,12V/1.5A,16-36VA,RV-A 
5606-0015-03|PWR SPLY,12V/1.5A,16-36VA,RV-C 
5606-0023-01|PWR SUPPLY,18VDC,1A,100-250VAC 
5606-0025-01|POS/EM PLUS TRI-RAIL PSU 120V  
5606-0028-01|TRANSFORMER                    
5606-0034-01|PWR SPLY,PC,+/-5,+/-12,EU R RE 
5606-0039-01|PWR SPLY,12V,2A,WPI,5.5MM PLUG 
5606-0043-01|PWR SPLY,12V@2A,2.1MM PLG,230V 
5606-0044-01|PWR SPLY,PC,3.3/5/12V,300W     
5606-0044-03|PWR SPLY,PC,3.5/5/12V,350W     
5606-0047-01|PWR SPLY,18V/1.7A,UNIV,W/LSYNC 
574-001K|REF MANUAL ENTRAPASS SP ED ENG 
574-002K|REFERENCE MANUAL-ENG ENTRAPASS 
574-003K|ENTRAPASS SP ED REF MAN-FRENCH 
574-004K|ENTRAPASS SP ED REF MAN-SPANIS 
574-005K|REF MANUAL-FRENCH ENTRAPASS CE 
574-006K|REF MAN-SPANISH ENTRAPASS CE   
574-009K|GLOBAL EDITION REF MAN ENGLISH 
574-011K|GLOBAL EDITION REF MAN FRENCH  
5899-0008-01|SCR,THD CUT,M3.5X9.5,PHP,ST,Z, 
600-807|CD, ULTRASTATION V2.1          
600-808|CD, ULTRAVISION V2.1           
6002-0024-01|CABLE,3COND,18AWG,PVC          
6002-0114-01|CABLE,9COND,22AWG,SHDL,PLNM,CL 
6002-0171-01|CABLE,9COND,22AWG,SHLD,PLNM,CL 
6003-0007|POWER CORD INTERNATIONAL SVT   
6003-0010|PWR CORD USA 125 V             
6003-0013|POWER CORD, RIGHT ANGLE 9| 10" 
6003-0017-04|CBL/A,SHIELDED,PV,25 FT.       
6003-0028-01|CABLE,MODULAR,6PIN MALE,3-1/2| 
6003-0031-01|CABLE ASSY,PRINTER,PRL,CENTRNC 
6003-0033-01|CORD,HAR,10A@250V,W/PLUG&REPT  
6003-0034-01|PWR CORD SCHUKO (EUR) 250 V    
6003-0038-01|CORD,PHONE,6PIN,MODULAR,10FT   
6003-0046-01|CABLE ASSY,SERIAL,6FT,SHLD,DB9 
6003-0047-01|CABLE ASSY,MDLR,RJ45,8 COND,14 
6003-0070-01|CBL/A,RS232,CR|D PRS,DB9F-F    
6003-0086-01|CABLE ASSY,VIDEO,6.5IN,DB9 TO  
6003-0107-01|CBL/A,QUAD,SW,INTFCE           
6003-0108-01|CBL/A,VM16+/TNG,MUX/INTFCE     
6003-0131-01|CBL/A,609MM,BNC-F TO MMCX-M    
6003-0135-01|CBL/A,FLAT,12COND,330.2L       
6003-0158-02|CBL/A,RIBB,12"L,1X2P,SKT-SKT   
6003-0161-01|CBL/A,SCSI,INT,68P,3POS,90 OHM 
6003-0168-01|CBL/A,18 INCH,ULTRA ATA IDE 66 
6003-0168-02|CABLE, IDE HDD                 
6003-0168-03|CBL/A,80C,24",12/12,ULT ATA100 
6003-0172-01|NULL MODEM CABLE PDT           
6003-0183-01|PWR CORD,250V,10A,BLK IEC M-F  
6003-0184-01|CBL/A,IEEE1394,1M 6P-6P        
6003-0190-01|CBL/A,CAT5,10|,UTP PCH,RJ45M-M 
6003-0191-01|CBL/A,CAT5,25|,UTP PCH,RJ45M-M 
6003-0192-01|CBL/A,CAT5E,15|,CRSOVR,RJ45M,Y 
6003-0194-01|CBL/A,RG59,PATCH,1 FT,BNC-BNC  
6003-0194-10|CBL/A,RG59,PATCH,10 FT,BNC-BNC 
6003-0194-25|CBL/A,RG59,PATCH,25 FT,BNC-BNC 
6003-0194-50|CBL/A,RG59,PATCH,50 FT,BNC-BNC 
6003-0198-01|CBL/A,ADPT,1.2FT,USB-SER DB9M  
6003-6006-01|CABLE ASSY,16 PIN              
6003-6007-01|CABLE ASSY,26 PIN              
6003-6012-01|CABLE ASSY, 10 PIN             
6003-6027-01|CABLE ASSY,40 PIN,DATA         
6003-6028-01|CABLE ASSY,34 PIN              
6003-6029-01|CABLE ASSY,40 PIN DATA/SYSTEM  
6003-6030-01|CABLE ASSY,50 PIN              
6003-6031-01|CABLE ASSY,SCSI-3,DP SERIES    
6003-6034-01|CABLE ASSEMBLY,ALARM           
6003-6035-01|CABLE ASSEMBLY,VIDEO,INTERNAL  
6003-6037-01|CABLE ASSY,EXTERNAL VIDEO      
6007-0039-03|CAMERA CABLE                   
6009-0001|CABLE TIE NYLON 5 1/2 INCH     
6009-0002|CABLE TIE NYLON 3"NOM          
6009-0003|MOUNT,ADH BACKED,1-1/8x1-1/8   
6009-0004|MOUNT ADHESIVE BACK 3/4X3/4    
6009-0005|CABLE TIE NYLON 7 3/4 INCH     
613P|FIBER OPTIC; AC ADAPTOR 110VAC 
710-5015|DONGLES SECURITY KEYS FOR ENTR 
715-2201|SLEEVE FOR STARTER KIT         
720-1105|ENTRAPASS CE BOX-KANTECH       
720-1106|ENTRAPASS SE BOX-KANTECH       
720-1107|GLOBAL EDITION COLOR BOX       
720-2001|PLASTIC BAGS  9 X 12 X 2 MIL.  
720-2501|ENTRAPASS GENERIC CD POCKET    
770-1045|MA. ENTRAPASS, SYST. MANUAL R  
778-1005|SCREW DRIVER KANTECH           
800-0321|CD, CCURE 800 VER V3.2.1       
800-041|CD, CCURE 800 VER 4.1          
800-0514|CD, CCURE 800 V5.1.4, FGS      
800-0520|CD, CCURE 800 V5.2.0, English  
800-0601|CD, CCURE 800 V6.0.1           
800-0606|CD,CCURE VER 6.0.6 SIMP CHINES 
800-0607|CD,CCURE 800 V6.0.7 TRAD CHIN  
800-0608|CD, CCURE 800 6.08, JAPANESE   
800-07012|CD, CCURE 800 V7.0.12          
800-0704|CD,CCURE 800 V 7.0.4 F,G,S     
800-0705|CD,CCURE 800 VER 7.0.5 CZECH   
800-0720|CD, CCURE 800 VER 7.2.0 W/VISI 
800-0720ID|CD, CCURE 800 VER 7.2.0 W/CCID 
800-0800|CC800 VERSION 8.0.0 W/ITC BADG 
800-0800ID|CC800 VERSION 8.0.0 W/CCID     
800-0804ID|CD,CC800 VER 8.0.4 ID F,G,S    
800-0807ID|CD, CC800 VER 8.07 TRAD CHIN   
800-0808|CD, CC800 VER 8.0.8 JAPANESE   
800-0810ID|CD, CCURE 800 VER 8.1.0        
800-0820ID|CD, CCURE 800 VER 8.2          
800-101|MODEM, EXTERNAL WITH PC        
800-109|SENTINEL LOCK                  
800-110|SENTINEL LOCK,USB SPN-1        
800-115|CD, BLANK                      
800-307|DIGIBOARD DB25 EXT 16 PORT     
800-308|DIGIBOARD 120VAC PS            
800-401|CABLE,6-FT. PARALLEL INTERFAE  
800-405|CABLE,12| CAT 5 CROSSOVER      
8000-0451-01|PK-3-XP BOOK DEACT. INST.      
8000-0492-01|EC75/MC75 Remote Alarm Service 
8000-0525-800|AC500,INST/CONFIG. MAN, V8.0   
8000-1012-01|POS/EM VALUE APPL GUIDE FOR RE 
8000-1236-01|POS/EM VALUE APPL GUIDE FOR FO 
8000-1342-01|APPL GDE,POS/EM VAL,RETAIL     
8000-1362-01|INSTALL INSTRUCTIONS,SPEEDDOME 
8000-1375-01|Video Manager 16 Plus Service  
8000-1404-01|CCURE 800 S/W LICENSE          
8000-1405-01|CCURE 800 S/W REGISTRATION     
8000-1488-01|POS/EM VALUE,V1.3 SYSTEM ADMIN 
8000-1673-01|OPERATOR MANUAL VM32           
8000-2124-01|MNL,SIMPLEX,E/F/S,ROBOT        
8000-2573-01|INSTALLATION GUIDE,SDU III     
8000-2573-18|INSTALLATION GUIDE, SDU IV     
8000-2711-03|SETUP AND SERVICE GUIDE        
8200-0050-03|CC CENTRAL INSTALL GUIDE 2.0   
8200-0068-01|PC ANYWHERE SW/LICENSE         
8200-0069-01|NORTON ANTI-VIRUS SW/LICENSE   
8200-0084-01|MNL,INTLX 24,QRG/TSG           
8200-0093-01|MNL,INTLX 24,UPGRADE INSTRN    
8200-0155-01|MNL,INTLX 3.0,QRGTSG           
8200-0190-00|INST, CZ22, ACTIVE NODE        
8200-0214-01|MNL,INTL 3.0 UPGRADE INSTN     
8200-0299-01|MNL,INTLX3.1 UPGRADE INSTRUCTI 
8200-0315-01|MNL,INTLX EXTERNAL CD-RW       
8200-0331-01|MNL,INTLX 3.1 QRGTSG EFGS      
9000-0221-01|Key, Rapid Pad II Alarm  (#221 
9000-0252-01|KEY RAPID PAD II ALARM (#252)  
9000-2072-01|DMS SW GEN TUNING CORE         
9000-3115-01|Fan, VCR Lock Box              
9000-5082-01|Keys, VCR Lock Box (1=2 Dup|ed 
9000-6000-01|COPPERBACKED LAMINENT          
920201|LX300 EPSON PRINTER FOR 976264 
9500469|MASTER CARTON                  
9600228|RSC CARTON                     
9600232|RSC CARTON                     
9U0100-0144-01|U*M TRANS ELECT                
9U0100-0144-03|POWER PACK,ULTRA*MAX           
9U0100-0258-05|SWITCHER,VM96,16CAM, HDRV      
9U0100-0355-07|ASSY,RPII POWER PACK,W/  VER 3 
9U0100-0480-01|FINAL ASSY VM32                
9U0100-0490-01|WALL MOUNT, 48                 
9U0100-0491-51|MEGAPOWER, NTSC, 48            
9U0100-0595-01|JBOX,SENSORNET,SIX POSITION    
9U0100-0770-03|PWR PACK,M2K,4CH,PACKED        
9U0100-0839-03|POWER PACK PACKAGED M4K        
9U0100-0839-05|PWR PK,ZE4CE5,PACKED,ZE4CE5`   
9U0100-1036-01|FINAL ASSY ULTRA DOME COLOR NT 
9U0100-1080-09|HOST, IBM LOOP/DOM, POS/EM VAL 
9U0100-1096-01|PWR PK ASM,RPII                
9U0100-1772-01|POWER DETACHER ASSY,MK200      
9U0100-2283-01|FINAL ASSY,ULTRA III,CLR,DOM,N 
9U0100-2283-11|SD ULTRAIV,CLR,DOM,NTSC,FIN AS 
9U0100-2283-15|F/A,AD DELTADOME,CLR,DOM,NTSC  
9U0100-2283-21|SPDM ULTRA V,CLR,DOM,NTSC      
9U0100-2283-23|FINAL ASSY,ULTRA V,B/W EIA 22X 
9U0100-2283-25|F/A,AD DLTDM II,CLR,DOM,NTSC   
9U0100-2287-01|SPEEDDOME ULTRA DOME II, COLOR 
9U0100-2324-01|PKG ASSY,TOUCH TRACKER,VM96    
9U0100-2324-03|PKG ASSY, TOUCH TRACKER,ADTT16 
9U0100-2324-04|PKG ASSY,TOUCH TRACKER,VM32    
9U0100-2324-06|PKG ASSY, TOUCH TRACKER, ADTT  
9U0100-2327-01|PRIMARY UNIT,NON-EUR,PKG,U*PII 
9U0100-2332-01|NTSC INDOOR CHASSIS            
9U0100-2336-11|FINAL/A,AD DELTADRONE,CLR NTSC 
9U0100-2348-01|NTSC OUTDOOR CHASSIS           
9U0100-2355-01|ASSY,MK395,DESK MOUNT          
9U0100-2355-02|ASSY,MK395,FLUSH MOUNT         
9U0100-2467-05|SWITCHER,VM96,16CAM,HDRV       
9U0100-2468-01|HOUSING ASSY,OUTDOOR,PIGTAIL   
9U0100-2475-02|PACKED ASSY,DGTL216,3 RELAY    
9U0100-2477-01|FIN/A,ULTRA VI ,DOM,CLR,NTSC,2 
9U0100-2479-01|CAM,W/BRACKET,CLR,470TVL,NTSC  
9U0101-0040-01|REFURB,ASSEMBLY,TBL TOP,AMB-20 
9U0101-0041-01|9U,CLR DOME,NTSC 22X,BLACK     
9U0101-0041-11|9U,CLR DOM,NTSC,32X,BLACK      
9U01EC76A|TONE ALARM W/ADAPTOR           
9U01MC76A-001|MSG,STD ENG FEMALE             
9U01MC76A-002|MSG,STD ENG MALE               
9U01MC76A-012|MSG,CVS                        
9U01MC76A-118|WALLMART, FEMALE               
9U01MC76A-119|WALMART, ENG/SPANISH           
9U01MK91-02|PWR DET II,W/120VAC XFMR,BEIGE 
9U01MK91-05|PWR DET II,W/O XFMR,BEIGE,N.A. 
9U01MK91B-05|PWR DET II W/O XFMR BLACK      
9U0300-0381-01|HEATSINK & PC BOARD ASSY       
9U0300-0396-01|JBOX ASSY,MODULAR,10 DOME,60HZ 
9U0300-0518-01|TRANSMIT MODULE ASSY           
9U0300-0641-03|CHASSIS ASSY TRANS(1.6/1.7)58/ 
9U0300-0928-01|MODULE ASSY,DMS MICROPROCESSOR 
9U0300-0928-02|MODULE ASSY, DMS MICROPRCSOR   
9U0300-0950-01|CHASSIS ASSY,POS/EM 1,GRAY     
9U0300-0967-01|TOUCH TRACKER ASSY,VIDEO MANAG 
9U0300-0967-07|TOUCH TRACKER ASSY, VM32       
9U0300-0967-11|TOUCH TRACKER ASSY,VM16 PLUS   
9U0300-1735-01|ASSY,SCAN-THRU,60HZ            
9U0300-1806-01|DATA BUFFER FOR ADDIT|NL OTPT  
9U0300-1815-01|DATA RECVR/BUFFER W/VIDEO LOSS 
9U0300-1816-01|DATA RECVR/BUFFER W/VIDEO LOSS 
9U0300-1856-01|DATA REC/BUFFER,2010           
9U0300-1894-02|SWITCHING PWR SUP, 2010PS-1    
9U0300-2226-01|CHASSIS ASSY,S/NET TO 422 CONV 
9U0300-2469-01|MODULE ASSY, DMS 915 RF        
9U0301-0087-01|PCB ASSY,VIDEO INTF,MONO/CLR   
9U0301-0089-01|MOTHER BD ASSY,32 CAM,MONO/CLR 
9U0301-0109-01|PCB ASSY,MOTHER,MDLR JBOX,60HZ 
9U0301-0125-01|PCB ASSY,DOME CPU PROG 50/60HZ 
9U0301-0204-01|PCB ASSY,DOME,CAMERA/LENS      
9U0301-0212-01|PC BOARD,RECIEVER ASSY         
9U0301-0212-06|PCB ASSY,RECEIVER ASSY         
9U0301-0309-01|PCB ASSY,SENSORNET,COMMUNICATI 
9U0301-0374-01|PCB ASSY,CONTROL,SKLOOP/ POST, 
9U0301-0518-01|PCB ASSY,SPEEDDOME,SENSORNET   
9U0301-0518-03|PCB ASSY,SPEEDDOME-LT,UNICARD  
9U0301-0546-01|PCB ASSY,I/O SPEEDDOME ULTRA   
9U0301-0653-01|PCB ASSY,SPEEDDOME,SENSORNET,U 
9U0301-0785-01|PCB ASSY,U*P RECEIVER/CONTROLL 
9U0301-0785-03|Asset Pro U*Post Plus receiver 
9U0301-0791-02|PCB ASSY,U*P XMTR/POWER S      
9U0301-0791-07|PCBA,XMIT-U*P                  
9U0301-0840-01|PCB ASSY,AD168, VIDEO OUTPUT   
9U0301-0864-01|PCB ASSY,AD168,VIDEO INPT MOD  
9U0301-0869-01|PCB ASSY,AD168,VIDEO OTPT MOD  
9U0301-0869-02|PCB ASSY, VOM, PAL             
9U0301-0870-01|PCB ASSY,AD168,CPU MODULE      
9U0301-0949-01|PCB ASSY,SPEEDDOME ULTRA       
9U0301-1020-01|PCA,ANALOG,NTSC                
9U0301-1021-01|PCA,BNC/ALARM,16 CAM           
9U0301-1029-01|PCA,ANALOG,PAL                 
9U0301-1031-01|PCA,LIVE DISPLAY/TOOL          
9U0301-1039-01|PCA,COMPRESSOR                 
9U0301-1077-01|PCA,ING,DAUGHTER               
9U0301-1101-03|PCA,ING VACD                   
9U0301-1603-01|Asset Pro Transmitter/Power Su 
9U0305-2033-01|HD MONITOR CARD PCB ASSY       
9U0309-0005-05|POWER PACK,STANDARD MAGNETIC,W 
9U0309-0037-01|POWER PACK,MAGNETIC,WHITEPKG   
9U0309-0042-01|ASSY,POWER MODULE              
9U0309-0043-01|P-ENHANCED II POWER PACK       
9U0309-0047-01|PWR PK ASSY,DMS 915            
9U0404-0004-01|ASSY,MAIN BOARD,DV8000         
9U0701-2710-0101|SYS DRV, INTLX 2.1, 60G        
9U0701-2710-0102|SYS DRV,INTLX 2.X,60G          
9U0710-0014-0101|SYS DRV, INTLX 2.1, 80G        
9U0710-0014-0102|SYS, DRV,INTLX 2.X,80G         
9U0710-0015-0100|DATA DRV,INTLX 2.1, 80G        
9U0710-0090-0100|SYS DRV,DV16,INTLX 2.4,80G     
9U0710-0090-0101|SYS DRV,DV16,INTLX 2.4,80G     
9U0710-0091-0100|DATA DRV, INTELLEX             
9U0710-0095-0100|SYS DRV,DV8,INTLX 2.4,80G      
9U0710-0099-0100|SYS DRV,DV8,INTLX 2.4,120G     
9U0710-0146-0100|SYS DRV,DV16,INTLX3.0,160G     
9U0710-0149-0100|SYS DRV,DV8,INTLX3.0,120G      
9U0710-0151-0100|DATA DRV,INTLX3.X,160G         
9U0710-0167-0100|SYS DRV,INTLX 2.5,120GB        
9U0710-0190-0100|SYS DRV,DV16,INTLX3.1,120G     
9U0710-0191-0100|SYS DRV,DV16,INTLX3.1,160G     
9U150-140|BIOSRYPT VPASS STD ALONE       
9U2003-0014-01|CAMR,2/3,CCD,380L,24V,B/W,2PC  
9U2003-0026-01|CAMERA,1/2",CCD,B/W,EIA TYPE   
9U2003-0027-01|CAMERA,1/2",CCD,COLOR          
9U2003-0036-05|CAMERA,1/3",CCD,CLR,NTSC,24VAC 
9U2003-0042-01|CAM,1/3,NTSC,24VAC,SEC         
9U2025-0004-01|PRINTER,9PIN,DOT MTRIX         
9U2025-0194-01|COMPUTER,POS/EM HOST,486DX2/66 
9U2025-0410-01|ALARM LOGGING UNIT,ULTRALINK   
9U2025-6039-01|TAPE DRIVE,DIGITAL/AUDIO,DDS-S 
9U2025-6087-01|VIDEO CARD,NTSC,AGP,32MB       
9UAD1024CPU|MEGAPWR 2 W/MENU DISPLAY OTPT  
9UAD1686B|RDU, 2 SITE, DUAL VOLT, OTDR   
9UAD168PSM-PC|AD168 PSM PC CARD              
9UAD1691|DISTRIB. UNIT - MANCHESTER     
9UAD2079|FULL SYSTEM KEYBOARD,DESKTOP   
9UAD2083-02B|CODE TRANS, SENSORMATIC RS     
9UAD2088|SYS KEYBOARD - DESKTOP, 120V   
9UAD2091|DISTRIB. UNIT - MANCHESTER     
9UAD2150NC|MATRIX SWITCHER ASSY,120V      
9UAD8025|RECORDER 24RT/24RT NTSC        
9UAD8096HD|VCR,96 HR,H DEN,NTSC,120V      
9UAD8168HD|VCR,168 HR,H DEN,NTSC,120V     
9UAD8960HD|VCR,960 HR,H DEN,NTSC,120V     
9UAD9414|MONITOR,14 INCH COLOR NTSC/PAL 
9UAD9421A|MONITOR 21 INCH CLR NTSC       
9UAD950B|MONITOR 9" COLOR NTSC          
9UAD9517B|17" CLR MONITOR, NTSC/PAL,NA   
9UADC500|1/3 INCH LE B/W CAMERA         
9UADC660X|CAMERA, 1/3" CCD, B&W, 24VAC C 
9UADC732|CAM 330TVL,DSP,NTSC,24VAC      
9UADCA330CN|CAM,1/3,330 TVL,DSP,NTSC       
9UAS0009-02|APC Motherboard 5000 ID        
9UAS0009-42|APC MOTHERBOARD ONLY 40000 ID  
9UAS0016-00|APC R/48 RELAY MODULE          
9UAS0020-01|Mini Star Coupler              
9UAS0054-00|APC STAR COUPLER, WIEGAND PROX 
9UAS0054-01|APC STAR COUPLER, WIEGAND/PROX 
9UAS0063-01|apS w/enc,pwr sup              
9UAS0073-000|APC 8RDR INPUT BUS MODULE      
9UAS0074-000|RM Output Final Assembly       
9UAS0100-004MB|APC/8X 1MB MOTHERBOARD ONLY    
9UAS0100-008MB|APC8X 8 READERS 2MB FLASH      
9UAS0100-016MB|APC8X 8 READERS 4MB FLASH      
9UAS0101-003|APC/L2-2F, 2 READERS 20000 ID  
9UAS0101-003MB|APC/L-2F MOTHERBOARD ONLY      
9UD60025D-036|INTLX LT,25,DELUXE,360GB,NTSC  
9UD60030D-032|DV16000,30,DELUXE,320GB,NTSC   
9UD60030D-048|DV16000,30,DELUXE,480GB,NTSC   
9UD60030P-048|DV16000,30,PREMIER,480GB,NTSC  
9UD60030S-032|DV16000,30,STANDARD,320GB,NTSC 
9UD60030S-048|DV16000,30,STANDARD,480GB,NTSC 
9UD60031D-032|DV16000,31,DELUXE,320GB,NTSC   
9UD60031D-048|DV16000,31,DELUXE,480GB,NTSC   
9UD60031P-048|DV16000,31,PREMIER,480GB,NTSC  
